iter	RMSE
0	0.6798500732
1	0.6376491599
2	0.6008589472
3	0.5691299989
4	0.5421277713
5	0.5189553412
6	0.4991174493
7	0.481970672
8	0.4670003049
9	0.4546302147
10	0.4437819882
11	0.4347845368
12	0.4267841721
13	0.4202558066
14	0.4147281165
15	0.4097844912
16	0.4055473412
17	0.4016407472
18	0.3980241885
19	0.3951714581
20	0.3923101322
21	0.3900580062
22	0.387995476
23	0.3860883331
24	0.3842878808
25	0.3828292314
26	0.3809086342
27	0.3795985239
28	0.3784899656
29	0.3768932273
30	0.3757027362
31	0.3744274293
32	0.373367449
33	0.372361728
34	0.3714510589
35	0.3704297718
36	0.3697836092
37	0.3690285262
38	0.3683304018
39	0.3678537769
40	0.3672856588
41	0.3660701974
42	0.3653690694
43	0.3648508231
44	0.3638827073
45	0.3634319983
46	0.3630255507
47	0.3626289199
48	0.3620974902
49	0.3613711409
50	0.360904087
51	0.3605152423
52	0.3597652397
53	0.3593496724
54	0.3587946654
55	0.3583753777
56	0.3577431031
57	0.3572725049
58	0.3568685873
59	0.356429275
60	0.3561601192
61	0.3556860475
62	0.3554810097
63	0.3551258313
64	0.3546841472
65	0.3542408638
66	0.3539675652
67	0.3535070297
68	0.3531487898
69	0.352962987
70	0.3526649935
71	0.3522764152
72	0.3520042995
73	0.3516753997
74	0.3512774001
75	0.3510696347
76	0.3507433491
77	0.3505678334
78	0.3503682413
79	0.3500838953
80	0.3497120712
81	0.3493856752
82	0.3491404441
83	0.3488561094
84	0.3486877597
85	0.3485371846
86	0.3483794147
87	0.3480429947
88	0.3478119942
89	0.3475359882
90	0.3473718777
91	0.3470814939
92	0.3469412369
93	0.3466192515
94	0.3463374446
95	0.3459651966
96	0.3456953913
97	0.3455834723
98	0.3453603636
99	0.345076745
