iter	Passed	Remaining
0	37	3671
1	74	3671
2	121	3914
3	155	3734
4	191	3635
5	227	3567
6	264	3508
7	299	3442
8	334	3381
9	370	3334
10	404	3273
11	441	3235
12	476	3186
13	511	3144
14	546	3099
15	583	3063
16	619	3025
17	655	2984
18	691	2950
19	727	2908
20	763	2873
21	801	2840
22	836	2800
23	875	2771
24	910	2732
25	945	2691
26	981	2654
27	1020	2624
28	1057	2588
29	1095	2557
30	1133	2522
31	1169	2486
32	1209	2454
33	1245	2417
34	1283	2383
35	1322	2351
36	1361	2318
37	1396	2277
38	1434	2244
39	1474	2212
40	1512	2176
41	1562	2158
42	1609	2133
43	1650	2100
44	1688	2063
45	1728	2029
46	1767	1993
47	1807	1957
48	1845	1920
49	1886	1886
50	1924	1848
51	1962	1811
52	2000	1774
53	2039	1737
54	2077	1699
55	2116	1663
56	2157	1627
57	2195	1589
58	2235	1553
59	2275	1516
60	2314	1479
61	2353	1442
62	2391	1404
63	2428	1366
64	2467	1328
65	2506	1291
66	2546	1254
67	2585	1216
68	2626	1180
69	2664	1142
70	2703	1104
71	2742	1066
72	2779	1028
73	2819	990
74	2856	952
75	2897	915
76	2936	877
77	2975	839
78	3016	801
79	3055	763
80	3095	725
81	3133	687
82	3173	650
83	3213	612
84	3251	573
85	3293	536
86	3332	497
87	3370	459
88	3409	421
89	3448	383
90	3486	344
91	3525	306
92	3565	268
93	3602	229
94	3640	191
95	3677	153
96	3716	114
97	3758	76
98	3799	38
99	3837	0
